De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 96-A, Signature SBS1 (3.50%) & Signature SBS5 (20.46%) & Signature SBS20 (18.30%) & Signature SBS44 (57.74%), 31.40,  22.55, 0.120, 0.97, 0.97
Signature 96-B, Signature SBS5 (23.20%) & Signature SBS30 (45.84%) & Signature SBS36 (30.96%), 66.07,  49.46, 0.397, 0.87, 0.83
Signature 96-C, Signature SBS5 (74.74%) & Signature SBS8 (25.26%), 57.33,  57.00, 0.305, 0.82, 0.53
Signature 96-D, Signature 96-D, 0, 0, 0, 1, 1
Signature 96-E, Signature SBS1 (1.08%) & Signature SBS18 (98.92%), 68.18,  40.60, 0.455, 0.91, 0.90
Signature 96-F, Signature SBS1 (14.70%) & Signature SBS5 (34.44%) & Signature SBS36 (38.14%) & Signature SBS59 (12.72%), 64.54,  48.92, 0.419, 0.87, 0.83
