Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
OGG1_boot	0.03171588930995301	0.008523440323672419	0.021212307966848545	0.903264311671	0.035284050728526084
OGG1_boot.1	0.09031149826048676	0.0	0.0	0.8207220749578507	0.08896642678166253
OGG1_real	0.011742688481788824	0.00805113398468961	0.0	0.8751906246109721	0.10501555292254948
UNG_boot	0.0	0.0	0.8983582854390655	0.10164171456093457	0.0
UNG_boot.1	0.11057144351631683	0.06755667964597853	0.6516993750866737	0.17017250175103088	0.0
UNG_boot.2	0.13877476629691476	0.0	0.7031089330068492	0.06440417396823288	0.0937121267280031
UNG_boot.3	0.0	0.04344272274677888	0.775686203500237	0.18087107375298422	0.0
UNG_boot.4	0.14495492941458712	0.0	0.61577365890941	0.0598200012862485	0.17945141038975426
UNG_boot.5	0.0	0.08486186424786975	0.8059155995312931	0.0	0.10922253622083708
UNG_real	0.0802054176394206	0.02837527134620711	0.7454832054370316	0.09109423989122248	0.05484186568611829
RNF168_boot	0.7079935167954077	0.00749320342170276	0.18637181861615415	0.050930859414717235	0.047210601752018126
RNF168_boot.1	0.619312276878038	0.06843123606819604	0.17967572035536292	0.1325807666984031	0.0
RNF168_boot.2	0.6492642714009504	0.0551417778229204	0.13805120898633041	0.10552802137463774	0.05201472041516105
RNF168_boot.3	0.6694787850208059	0.0	0.2089276706846725	0.08270694061132253	0.038886603683199225
RNF168_boot.4	0.7232083532951564	0.008961512461891936	0.11309143994121404	0.060255176524204625	0.09448351777753292
RNF168_boot.5	0.7031879423955962	0.030354055910216587	0.16511793607440403	0.10134006561978316	0.0
RNF168_boot.6	0.6970576102510593	0.0	0.14142442968834115	0.1099735764456912	0.051544383614908484
RNF168_boot.7	0.6673197799747841	0.004462422472871632	0.14992034440494423	0.06968737568770791	0.10861007745969227
RNF168_boot.8	0.6473094247479743	0.0	0.2016315357207074	0.05388266602699111	0.0971763735043273
RNF168_real	0.6752008512867399	0.017022490571570778	0.17189884358342505	0.08317596613440184	0.052701848423862496
ATP2B4_boot	0.22200926628730686	0.09609031307603692	0.23241847219047507	0.327216034591126	0.1222659138550551
ATP2B4_boot.1	0.020370346922118532	0.0	0.0	0.18005484802764204	0.7995748050502394
ATP2B4_boot.2	0.0	0.039936571690899286	0.11652443612813863	0.22666937901697232	0.6168696131639897
ATP2B4_boot.3	0.25663319115410194	0.030985646782219677	0.10697143648006763	0.3344952959542723	0.27091442962933854
ATP2B4_boot.4	0.15735705252142887	0.14727942865255692	0.16606485899252613	0.16589575498166947	0.3634029048518186
ATP2B4_boot.5	0.0	0.0	0.042379765452522145	0.32972277921201026	0.6278974553354675
ATP2B4_boot.6	0.0	0.09796904135894724	0.0	0.17189663341788738	0.7301343252231652
ATP2B4_boot.7	0.0	0.050015974677745864	0.11281454126424631	0.4154927222115066	0.42167676184650116
ATP2B4_real	0.2381603100885508	0.05270204231084571	0.13548845486526856	0.26896375205947354	0.30468544067586156
ATP2B4_real.1	0.0	0.06799242738012404	0.0413913284144906	0.24564121207716483	0.6449750321282206
MLH1_boot	0.0	0.883082498106868	0.08925655842040432	0.02766094347272765	0.0
MLH1_boot.1	0.0	0.893254882322177	0.10247771874509104	0.0	0.0042673989327321315
MLH1_real	0.0	0.8742226213949666	0.11532068026882268	0.010456698336210653	0.0
MSH2_real	0.0	0.848520872549362	0.1457982619581832	0.0056808654924547595	0.0
MSH6_boot	0.011895814626320698	0.8181455588339787	0.10705046652529053	0.0	0.06290816001441006
MSH6_boot.1	0.02885544625150562	0.8150171574162473	0.12181438558723524	0.000975173018072713	0.03333783772693928
MSH6_real	0.027327235972087735	0.8415609655904278	0.09727694073527665	0.033834857702207774	0.0
MSH6_real.1	0.024906719112534448	0.8155384619682522	0.11547732574435213	0.013268430212191857	0.03080906296266934
PMS1_real	0.0992899800483078	0.20117969017813075	0.11775603069782611	0.10600406755518484	0.47577023152055054
PMS2_real	0.5983842216000645	0.39463728056572883	0.0	0.0	0.0069784978342066276
