De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 96-A, Signature 96-A, 0, 0, 0, 1, 1
Signature 96-B, Signature SBS1 (3.08%) & Signature SBS5 (21.14%) & Signature SBS20 (18.32%) & Signature SBS44 (57.46%), 31.67,  22.67, 0.128, 0.97, 0.97
Signature 96-C, Signature SBS5 (15.42%) & Signature SBS18 (43.08%) & Signature SBS30 (41.50%), 63.76,  48.44, 0.386, 0.87, 0.84
Signature 96-D, Signature 96-D, 0, 0, 0, 1, 1
Signature 96-E, Signature SBS1 (14.42%) & Signature SBS5 (38.12%) & Signature SBS36 (36.32%) & Signature SBS59 (11.14%), 65.93,  50.80, 0.441, 0.86, 0.81
Signature 96-F, Signature SBS1 (6.42%) & Signature SBS5 (17.96%) & Signature SBS36 (75.62%), 75.05,  47.16, 0.543, 0.88, 0.86
