Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
OGG1_boot	0.04046511522156555	0.02207308906765798	0.009816518299403635	0.9141959461508958	0.013449331260477105
OGG1_boot.1	0.09849326357453976	0.0	0.0	0.8373299454714636	0.06417679095399663
OGG1_real	0.01982314092098737	0.0	0.009395057691545496	0.8938043318305724	0.0769774695568947
UNG_boot	0.0	0.9096373102430165	0.0	0.09036268975698343	0.0
UNG_boot.1	0.11193911891458563	0.6587783530559777	0.0673683231362903	0.1619142048931465	0.0
UNG_boot.2	0.13859685759543097	0.7106481769576196	0.0	0.06548172361233975	0.08527324183460976
UNG_boot.3	0.0	0.7850645358676928	0.04369082422377111	0.17124463990853597	0.0
UNG_boot.4	0.14391126925153033	0.6217612625640608	0.0	0.07121064248884554	0.16311682569556316
UNG_boot.5	0.0	0.812729132131857	0.084201905598574	0.0	0.10306896226956895
UNG_real	0.08061929750887259	0.7534230069048395	0.028203886683485873	0.087300629194651	0.05045317970815101
RNF168_boot	0.7064457561891576	0.1885046886129255	0.00736994391269044	0.05293613388457203	0.044743477400654555
RNF168_boot.1	0.6191790776257884	0.18200928018878096	0.06852658542085674	0.13028505676457386	0.0
RNF168_boot.2	0.648315368243355	0.13939979780283487	0.05504989026531077	0.10892268018970619	0.048312263498793105
RNF168_boot.3	0.6683157460394678	0.21137255004741343	0.0	0.0837807484506868	0.03653095546243184
RNF168_boot.4	0.7213503855869178	0.11430496997911285	0.00887650438323955	0.06850131198851586	0.08696682806221397
RNF168_boot.5	0.7026900952691832	0.16768338021465795	0.0304586922016884	0.09916783231447052	0.0
RNF168_boot.6	0.6961285265369115	0.1431624157486953	0.0	0.11356521443873585	0.047143843275657314
RNF168_boot.7	0.6656053357392147	0.15140749250994825	0.004297260137742298	0.07894850574976701	0.09974140586332773
RNF168_boot.8	0.64550623420273	0.20373679467694755	0.0	0.061248718949124016	0.08950825217119861
RNF168_real	0.6739883893268471	0.17379132110915094	0.016956599399584514	0.0861751928710517	0.049088497293365826
ATP2B4_boot	0.2237970202029247	0.2338879786016017	0.09632408079632532	0.33891346083478746	0.10707745956436093
ATP2B4_boot.1	0.015669001417195766	0.0	0.0	0.26856986678314615	0.7157611317996582
ATP2B4_boot.2	0.0	0.11538840809553831	0.03983064026875534	0.2941582068064584	0.5506227448292478
ATP2B4_boot.3	0.2574437778102651	0.10728611698541249	0.03136778340824384	0.36476639965928825	0.23913592213679039
ATP2B4_boot.4	0.15610744960387585	0.16698714330972705	0.1473848218122156	0.20455021074022917	0.3249703745339524
ATP2B4_boot.5	0.0	0.04096925336448084	0.0	0.3998350884736332	0.5591956581618858
ATP2B4_boot.6	0.0	0.0	0.09635719768926822	0.25238711147479115	0.6512556908359408
ATP2B4_boot.7	0.0	0.1132596126241488	0.05093941674366457	0.4639426650591283	0.3718583055730583
ATP2B4_real	0.23808333680861	0.1360078343209497	0.052884472602422496	0.30197941617485935	0.2710449400931584
ATP2B4_real.1	0.0	0.039553231451415066	0.06763795374387213	0.31699963334731374	0.5758091814573991
MLH1_boot	0.0	0.0904591884062823	0.8831738761750423	0.026366935418675266	0.0
MLH1_boot.1	0.0	0.10317000771567932	0.893146443906804	0.0	0.0036835483775165758
MLH1_real	0.0	0.11700581590491126	0.8742520958798387	0.008742088215250274	0.0
MSH2_real	0.0	0.14787392269152302	0.8485807625025861	0.0035453148058910947	0.0
MSH6_boot	0.009733937801140508	0.10488672280141079	0.8180148517206124	0.0	0.06736448767683631
MSH6_boot.1	0.028453741972952338	0.12292149636873358	0.814835951068341	0.002452133633744517	0.03133667695622851
MSH6_real	0.02783743731834536	0.09843502402306521	0.8413938712382305	0.03233366742035888	0.0
MSH6_real.1	0.024660740757630684	0.11648991966674796	0.8153818128357908	0.014633823037257455	0.028833703702573123
PMS1_real	0.09680290753968898	0.11725242059932837	0.2005939153029626	0.1562558633864181	0.429094893171602
PMS2_real	0.5958580089573098	0.0	0.39439393799156425	0.0	0.009748053051126084
