Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
OGG1_boot	0.010723509448072687	0.015081291050557446	0.004907542400466498	0.874123574960685	0.0	0.09516408214021822
OGG1_boot.1	0.0	0.0	0.057022922883455	0.7945036819427544	0.04284169253636768	0.10563170263742294
OGG1_real	0.01791315765083053	0.0	0.0009473897410461284	0.8478253990731651	0.0732469743173058	0.06006707921765235
UNG_boot	0.0	0.8894791883059809	0.0	0.11052081169401906	0.0	0.0
UNG_boot.1	0.06163545603967744	0.6122022235551835	0.06756000576324095	0.16059111228550954	0.0	0.09801120235638854
UNG_boot.2	0.0	0.658577468548368	0.07620595222683614	0.06805813880657394	0.04943976207335236	0.1477186783448697
UNG_boot.3	0.06191116102471821	0.7530594932332068	0.0	0.18502934574207502	0.0	0.0
UNG_boot.4	0.0	0.5785193796522217	0.09131906678426828	0.05769168675936659	0.1445651150432146	0.12790475176092891
UNG_boot.5	0.09952257775249242	0.7792646954368053	0.0	0.0	0.12121272681070223	0.0
UNG_real	0.019716399205759256	0.7103475782619674	0.04129540540316652	0.09440566185351312	0.02681115993701683	0.10742379533857674
RNF168_boot	0.0	0.1667586906706657	0.6130633658932433	0.039157112865694114	0.01353879232476019	0.16748203824563662
RNF168_boot.1	0.07377964785265635	0.16640109209081733	0.5697387227989635	0.11713892426038938	0.0	0.0729416129971734
RNF168_boot.2	0.04968407086919482	0.12494106405660417	0.5823954913117144	0.09046866050286155	0.03404447645763285	0.11846623680199225
RNF168_boot.3	0.0	0.20051732001367847	0.610540004804222	0.06952979806841163	0.02829144843220408	0.09112142868148389
RNF168_boot.4	0.008490447792001607	0.10524942299740757	0.6597347638682545	0.04388868074817684	0.08188579372552378	0.10075089086863588
RNF168_boot.5	0.04092091191843784	0.1584996283375406	0.6520633754330503	0.0874333676156609	0.0	0.06108271669531043
RNF168_boot.6	0.0	0.13112149187985686	0.620456977768738	0.09723672748742293	0.026098256170873694	0.12508654669310854
RNF168_boot.7	0.0	0.12839473212403388	0.5672160723622015	0.05617178194629806	0.06855595430261154	0.17966145926485505
RNF168_boot.8	0.0	0.19683821884470826	0.6002090075330238	0.040329911250578214	0.08966049953571556	0.07296236283597421
RNF168_real	0.01705932595622273	0.1617547446905758	0.6115322174322001	0.06918867275959693	0.039091408608434776	0.10137363055296977
ATP2B4_boot	0.0	0.15795439550001517	0.02040629710338948	0.3034706274310908	0.0	0.5181686799655046
ATP2B4_boot.1	0.0	0.0	0.0075443906383790005	0.14002335309817934	0.7801565301624012	0.07227572610104044
ATP2B4_boot.2	0.04681063300310663	0.11096034543282857	0.0	0.19265903528368483	0.6300077590225266	0.019562227257853483
ATP2B4_boot.3	0.0	0.07072409101568919	0.14201325481235194	0.30891944136173044	0.19309181269636377	0.2852514001138645
ATP2B4_boot.4	0.13025611800060016	0.14713720491858262	0.11586001072463317	0.1429846604514511	0.34374475724894904	0.12001724865578398
ATP2B4_boot.5	0.0	0.04180772990106191	0.00769844121909137	0.29523907768851454	0.6162556588779541	0.03899909231337821
ATP2B4_boot.6	0.08178843003649625	0.0	0.0	0.13475656846717146	0.7092516256695576	0.07420337582677468
ATP2B4_boot.7	0.07137459206135266	0.109959510840123	0.0	0.38320728577470625	0.435458611323818	0.0
ATP2B4_real	0.002031403458401187	0.1047525127858294	0.13663167570911908	0.244507838551635	0.2390608320798379	0.2730157374151776
ATP2B4_real.1	0.061353926740199495	0.031848840991619415	0.0	0.20963643525904294	0.635254737154742	0.06190605985439607
MLH1_boot	0.8627473275922224	0.035135794492549895	0.0	0.021852452253467568	0.0015339758445112115	0.07873044981724898
MLH1_boot.1	0.8530345079249957	0.03314633722127103	0.0	0.0	0.0	0.1138191548537333
MLH1_real	0.8368503181041237	0.051796786497447254	0.0	0.0020933746685249032	0.0	0.10925952072990404
MSH2_real	0.8018165350012633	0.07151681439704517	0.0	0.0	0.0	0.12666665060169144
MSH6_boot	0.8040395223830257	0.059454164729036724	0.02081430229509595	0.0	0.05827434092254664	0.05741766967029498
MSH6_boot.1	0.8093255974367807	0.07554490614530265	0.05325921651735733	0.0	0.043408697125388425	0.018461582775170866
MSH6_real	0.8343785098808918	0.053844169976978495	0.04487468059877067	0.03327545733595734	0.0	0.03362718220740183
MSH6_real.1	0.804104622375626	0.06659688032004932	0.04125864998412034	0.007504898959262502	0.040527905890205884	0.04000704247073618
PMS1_real	0.04906224384155397	0.030108387888008542	0.0	0.080755100647064	0.29487795235206526	0.5451963152713083
PMS2_real	0.390278682464067	0.0	0.6035040038981668	0.0	0.006217313637766263	0.0
